id,date_ouverture,date_fermeture,marche,nom,symbole,strategie,raison,prix_entree,prix_sortie,quantite,montant_eur,variation_pct,frais_total,frais_pct,cout_total_pct,slippage_simule_pct,rendement_net_pct,gain_eur,gagnant
1,2026-07-09 13:41,2026-07-09 19:51,?,BTCUSDT,BTCUSDT,manuel/indicateurs,TEMPS+benefice (+0.92%),62675.95,63255.23,0.00398478,250.0,0.9242,0.5021,0.2008,0.2017,0.0,0.7225,1.8062,True
2,2026-07-09 19:43,2026-07-09 20:36,indices,S&P 500,^GSPC,manuel/indicateurs,TEMPS+benefice (+0.05%),7539.65,7543.64,0.01271995,96.0,0.0529,0.192,0.2,0.2,0.0,-0.1471,-0.1412,False
3,2026-07-09 19:51,2026-07-09 20:36,crypto,Bitcoin,BTCUSDT,manuel/indicateurs,TEMPS+benefice (+0.09%),63255.23,63309.21,0.00200828,127.16,0.0853,0.2543,0.2,0.2001,0.0,-0.1147,-0.1459,False
4,2026-07-09 20:06,2026-07-09 20:52,crypto,XRP,XRPUSDT,manuel/indicateurs,TEMPS+benefice (+0.05%),1.0965,1.0971,92.68332914,101.73,0.0547,0.2034,0.2,0.2,0.0,-0.1453,-0.1478,False
5,2026-07-09 20:37,2026-07-09 21:22,crypto,Bitcoin,BTCUSDT,manuel/indicateurs,TEMPS+benefice (+0.01%),63309.21,63316.0,0.00198758,125.96,0.0107,0.2518,0.1999,0.1999,0.0,-0.1892,-0.2383,False
6,2026-07-09 20:37,2026-07-09 21:22,forex,Or,GC=F,manuel/indicateurs,TEMPS+benefice (+0.05%),4130.7,4132.6,0.02437012,100.77,0.046,0.2015,0.1999,0.2,0.0,-0.154,-0.1552,False
7,2026-07-09 20:52,2026-07-09 21:38,crypto,XRP,XRPUSDT,manuel/indicateurs,TEMPS+benefice (+0.05%),1.0971,1.0976,91.90452014,100.93,0.0456,0.2018,0.1999,0.2,0.0,-0.1544,-0.1559,False
8,2026-07-09 21:22,2026-07-09 22:08,crypto,Bitcoin,BTCUSDT,manuel/indicateurs,TEMPS+benefice (+0.02%),63316.0,63331.51,0.00198818,126.01,0.0245,0.2519,0.1999,0.1999,0.0,-0.1755,-0.2211,False
9,2026-07-09 21:38,2026-07-09 22:23,crypto,XRP,XRPUSDT,manuel/indicateurs,TEMPS+benefice (+0.02%),1.0976,1.0978,91.7457274,100.8,0.0182,0.2015,0.1999,0.1999,0.0,-0.1817,-0.1832,False
10,2026-07-09 21:22,2026-07-09 23:24,forex,Or,GC=F,manuel/indicateurs,TEMPS+benefice (+0.01%),4132.6,4133.0,0.02436891,100.81,0.0097,0.2015,0.1999,0.1999,0.0,-0.1902,-0.1918,False
